metric,value,total_timesteps,episode,wall_time
Loss_critic_1,0.6437160968780518,1,201,1782047033.8071606
Loss_critic_2,0.7020391821861267,1,201,1782047033.8100133
q_targ,-0.6443754434585571,1,201,1782047033.8133385
G_Loss_critic_1,0.5871656537055969,1,201,1782047034.8149061
G_Loss_critic_2,0.5302687287330627,1,201,1782047034.8190572
G_q_targ,-0.5638144016265869,1,201,1782047034.8238108
Loss_actor,0.24286292493343353,1,201,1782047034.8346536
Loss_action_l2,0.003529683221131563,1,201,1782047034.8398411
Loss_bc,300.98583984375,1,201,1782047034.8433893
q_pi,-0.2428276240825653,1,201,1782047034.8476353
TimePerSeqRollout,22.103200674057007,600,201,1782047055.6075327
Loss_critic_1,0.021200738847255707,601,202,1782047058.6329265
Loss_critic_2,0.020103950053453445,601,202,1782047058.6357458
q_targ,-0.8237646818161011,601,202,1782047058.6392646
G_Loss_critic_1,0.023608162999153137,601,202,1782047058.6619902
G_Loss_critic_2,0.02019204944372177,601,202,1782047058.664126
G_q_targ,-0.6787205934524536,601,202,1782047058.6665077
Loss_actor,0.8149222135543823,601,202,1782047058.674829
Loss_action_l2,0.9897372722625732,601,202,1782047058.6770017
Loss_bc,1184.363525390625,601,202,1782047058.6793957
q_pi,-0.8050248622894287,601,202,1782047058.6826448
TimePerSeqRollout,25.857576370239258,1200,202,1782047084.4621103
Loss_critic_1,0.017182834446430206,1201,203,1782047084.4956071
Loss_critic_2,0.018178127706050873,1201,203,1782047084.4984698
q_targ,-0.9918277859687805,1201,203,1782047084.5012488
G_Loss_critic_1,0.020637543871998787,1201,203,1782047084.522294
G_Loss_critic_2,0.0214943066239357,1201,203,1782047084.5259278
G_q_targ,-0.7364709973335266,1201,203,1782047084.5281866
Loss_actor,0.9793582558631897,1201,203,1782047084.535398
Loss_action_l2,0.9925802946090698,1201,203,1782047084.5384512
Loss_bc,1199.6143798828125,1201,203,1782047084.5409043
q_pi,-0.9694324135780334,1201,203,1782047084.5438807
TimePerSeqRollout,31.064661502838135,1800,203,1782047115.5298162
Loss_critic_1,0.014945076778531075,1801,204,1782047115.5713875
Loss_critic_2,0.016822993755340576,1801,204,1782047115.5745752
q_targ,-1.1360887289047241,1801,204,1782047115.5787392
G_Loss_critic_1,0.023358875885605812,1801,204,1782047115.6004612
G_Loss_critic_2,0.02094225212931633,1801,204,1782047115.608874
G_q_targ,-0.7675489187240601,1801,204,1782047115.6122143
Loss_actor,1.125256061553955,1801,204,1782047115.6210847
Loss_action_l2,0.8444992303848267,1801,204,1782047115.6241143
Loss_bc,1057.4228515625,1801,204,1782047115.627359
q_pi,-1.1168110370635986,1801,204,1782047115.630166
TimePerSeqRollout,29.03094458580017,2400,204,1782047144.5649288
Loss_critic_1,0.015732739120721817,2401,205,1782047144.5985253
Loss_critic_2,0.01657184213399887,2401,205,1782047144.6009157
q_targ,-1.2786771059036255,2401,205,1782047144.6034153
G_Loss_critic_1,0.024985987693071365,2401,205,1782047144.6236403
G_Loss_critic_2,0.0252765491604805,2401,205,1782047144.6266804
G_q_targ,-0.9130039215087891,2401,205,1782047144.6287239
Loss_actor,1.2220054864883423,2401,205,1782047144.636522
Loss_action_l2,0.9031712412834167,2401,205,1782047144.6388385
Loss_bc,1092.62353515625,2401,205,1782047144.6408203
q_pi,-1.2129738330841064,2401,205,1782047144.6426294
TimePerSeqRollout,24.344663381576538,3000,205,1782047168.9218552
Loss_critic_1,0.018459221348166466,3001,206,1782047168.9498863
Loss_critic_2,0.021586459130048752,3001,206,1782047168.952516
q_targ,-1.4244552850723267,3001,206,1782047168.9545448
G_Loss_critic_1,0.020600412040948868,3001,206,1782047168.9768493
G_Loss_critic_2,0.022166110575199127,3001,206,1782047168.9793508
G_q_targ,-0.9530681371688843,3001,206,1782047168.9813404
Loss_actor,1.3936048746109009,3001,206,1782047168.9841561
Loss_action_l2,0.9351414442062378,3001,206,1782047168.9909086
Loss_bc,1132.4869384765625,3001,206,1782047168.9929264
q_pi,-1.3842535018920898,3001,206,1782047168.9946852
TimePerSeqRollout,28.174665212631226,3600,206,1782047197.101522
Loss_critic_1,0.01775636523962021,3601,207,1782047198.4945693
Loss_critic_2,0.018407229334115982,3601,207,1782047198.4994724
q_targ,-1.6143779754638672,3601,207,1782047198.5023184
G_Loss_critic_1,0.03408750146627426,3601,207,1782047198.5289764
G_Loss_critic_2,0.033979374915361404,3601,207,1782047198.5314593
G_q_targ,-1.069978952407837,3601,207,1782047198.5333512
Loss_actor,1.5754345655441284,3601,207,1782047198.5400634
Loss_action_l2,0.9536150097846985,3601,207,1782047198.5441337
Loss_bc,1131.322021484375,3601,207,1782047198.5461507
q_pi,-1.5658985376358032,3601,207,1782047198.548335
TimePerSeqRollout,24.446614742279053,4200,207,1782047222.9123328
Loss_critic_1,0.03419584035873413,4201,208,1782047222.9468606
Loss_critic_2,0.03444383665919304,4201,208,1782047222.9492176
q_targ,-1.6863133907318115,4201,208,1782047222.9517555
G_Loss_critic_1,0.03380607068538666,4201,208,1782047222.969628
G_Loss_critic_2,0.03044334426522255,4201,208,1782047222.9731913
G_q_targ,-1.1469154357910156,4201,208,1782047222.975235
Loss_actor,1.692370891571045,4201,208,1782047222.9819624
Loss_action_l2,0.959152102470398,4201,208,1782047222.9837804
Loss_bc,1134.433837890625,4201,208,1782047222.9855282
q_pi,-1.6827794313430786,4201,208,1782047222.9872916
TimePerSeqRollout,24.195300579071045,4800,208,1782047247.1110973
Loss_critic_1,0.03545725718140602,4801,209,1782047247.1378334
Loss_critic_2,0.036098770797252655,4801,209,1782047247.1406348
q_targ,-1.7913367748260498,4801,209,1782047247.1429424
G_Loss_critic_1,0.033412426710128784,4801,209,1782047247.163581
G_Loss_critic_2,0.03908591344952583,4801,209,1782047247.1657798
G_q_targ,-1.2738709449768066,4801,209,1782047247.1681592
Loss_actor,1.7692457437515259,4801,209,1782047247.1742036
Loss_action_l2,0.9567192792892456,4801,209,1782047247.1772153
Loss_bc,1121.3248291015625,4801,209,1782047247.1791155
q_pi,-1.759678602218628,4801,209,1782047247.1811533
TimePerSeqRollout,24.230921983718872,5400,209,1782047271.345193
Loss_critic_1,0.02927711233496666,5401,210,1782047271.3735378
Loss_critic_2,0.02670961618423462,5401,210,1782047271.3781974
q_targ,-1.9654840230941772,5401,210,1782047271.3802142
G_Loss_critic_1,0.03835594654083252,5401,210,1782047271.4005349
G_Loss_critic_2,0.038070425391197205,5401,210,1782047271.4028006
G_q_targ,-1.4398013353347778,5401,210,1782047271.405969
Loss_actor,1.9249669313430786,5401,210,1782047271.4113414
Loss_action_l2,0.8996262550354004,5401,210,1782047271.413732
Loss_bc,1077.581787109375,5401,210,1782047271.416051
q_pi,-1.9159705638885498,5401,210,1782047271.4181378
TimePerSeqRollout,23.756144523620605,6000,210,1782047295.1083462
Loss_critic_1,0.038606494665145874,6001,211,1782047295.137376
Loss_critic_2,0.03856944665312767,6001,211,1782047295.1409733
q_targ,-2.015571117401123,6001,211,1782047295.1431353
G_Loss_critic_1,0.045056261122226715,6001,211,1782047295.1645586
G_Loss_critic_2,0.04540011286735535,6001,211,1782047295.1690054
G_q_targ,-1.5050785541534424,6001,211,1782047295.1709814
Loss_actor,1.986175775527954,6001,211,1782047295.1765606
Loss_action_l2,0.9190899729728699,6001,211,1782047295.1789012
Loss_bc,1099.37646484375,6001,211,1782047295.1810462
q_pi,-1.976984977722168,6001,211,1782047295.1829093
TimePerSeqRollout,24.073665857315063,6600,211,1782047319.1846766
Loss_critic_1,0.05387602001428604,6601,212,1782047320.8819106
Loss_critic_2,0.056172169744968414,6601,212,1782047320.8865976
q_targ,-2.1324753761291504,6601,212,1782047320.8885758
G_Loss_critic_1,0.04772789776325226,6601,212,1782047320.9091148
G_Loss_critic_2,0.045145146548748016,6601,212,1782047320.9130182
G_q_targ,-1.654721975326538,6601,212,1782047320.9153552
Loss_actor,2.0413413047790527,6601,212,1782047320.9218304
Loss_action_l2,0.8917821645736694,6601,212,1782047320.924533
Loss_bc,1093.98486328125,6601,212,1782047320.927042
q_pi,-2.032423496246338,6601,212,1782047320.9289262
TimePerSeqRollout,24.38089680671692,7200,212,1782047345.2373986
Loss_critic_1,0.05484066158533096,7201,213,1782047345.2641146
Loss_critic_2,0.055005740374326706,7201,213,1782047345.2720065
q_targ,-2.3668057918548584,7201,213,1782047345.2738583
G_Loss_critic_1,0.05020441487431526,7201,213,1782047345.2923276
G_Loss_critic_2,0.046779531985521317,7201,213,1782047345.2967138
G_q_targ,-1.6762521266937256,7201,213,1782047345.299514
Loss_actor,2.2973814010620117,7201,213,1782047345.305554
Loss_action_l2,0.9182500839233398,7201,213,1782047345.3082502
Loss_bc,1135.022216796875,7201,213,1782047345.3104963
q_pi,-2.288198947906494,7201,213,1782047345.3120239
TimePerSeqRollout,24.20961904525757,7800,213,1782047369.4494655
Loss_critic_1,0.050746046006679535,7801,214,1782047369.4945123
Loss_critic_2,0.05700874328613281,7801,214,1782047369.4983468
q_targ,-2.4341979026794434,7801,214,1782047369.500659
