metric,value,total_timesteps,episode,wall_time
Loss_critic_1,0.6413741707801819,1,701,1782107757.4021335
Loss_critic_2,0.7161568999290466,1,701,1782107757.4050736
q_targ,-0.6765950918197632,1,701,1782107757.4092655
G_Loss_critic_1,0.5504556894302368,1,701,1782107760.6590738
G_Loss_critic_2,0.6384751200675964,1,701,1782107760.6618524
G_q_targ,-0.5761731863021851,1,701,1782107760.665194
Loss_actor,0.34177759289741516,1,701,1782107760.6725404
Loss_action_l2,0.006701359990984201,1,701,1782107760.6756992
Loss_bc,297.4473876953125,1,701,1782107760.6787093
q_pi,-0.34171056747436523,1,701,1782107760.6818025
TimePerSeqRollout,50.74849081039429,1285,701,1782107807.3254378
Loss_critic_1,0.018421415239572525,1286,702,1782107810.576643
Loss_critic_2,0.0184471532702446,1286,702,1782107810.5801864
q_targ,-1.1287436485290527,1286,702,1782107810.5823538
G_Loss_critic_1,0.02065366320312023,1286,702,1782107810.60222
G_Loss_critic_2,0.023383691906929016,1286,702,1782107810.604332
G_q_targ,-0.8365378379821777,1286,702,1782107810.605898
TimePerSeqRollout,73.93184733390808,3285,702,1782107884.4796753
Loss_critic_1,0.0286767166107893,3286,703,1782107884.5224147
Loss_critic_2,0.030887633562088013,3286,703,1782107884.524961
q_targ,-1.6074824333190918,3286,703,1782107884.526702
G_Loss_critic_1,0.024888254702091217,3286,703,1782107884.54236
G_Loss_critic_2,0.026549577713012695,3286,703,1782107884.5447044
G_q_targ,-1.1763598918914795,3286,703,1782107884.5468135
TimePerSeqRollout,18.01956558227539,3787,703,1782107902.502572
Loss_critic_1,0.025309257209300995,3788,704,1782107902.53273
Loss_critic_2,0.028892625123262405,3788,704,1782107902.5356562
q_targ,-1.7132971286773682,3788,704,1782107902.5384045
G_Loss_critic_1,0.03027481399476528,3788,704,1782107902.5583527
G_Loss_critic_2,0.028542710468173027,3788,704,1782107902.560977
G_q_targ,-1.2910261154174805,3788,704,1782107902.5635538
TimePerSeqRollout,40.600175857543945,4904,704,1782107943.105867
Loss_critic_1,0.0353742390871048,4905,705,1782107943.141452
Loss_critic_2,0.03369308263063431,4905,705,1782107943.143495
q_targ,-1.9737952947616577,4905,705,1782107943.1454546
G_Loss_critic_1,0.042047448456287384,4905,705,1782107943.1660836
G_Loss_critic_2,0.04088341444730759,4905,705,1782107943.1681554
G_q_targ,-1.5302813053131104,4905,705,1782107943.1702802
Loss_actor,1.9660217761993408,4905,705,1782107943.1764414
Loss_action_l2,0.9978302717208862,4905,705,1782107943.178841
Loss_bc,1190.222900390625,4905,705,1782107943.1807337
q_pi,-1.9560434818267822,4905,705,1782107943.1824892
TimePerSeqRollout,72.85691142082214,6904,705,1782108015.9663126
Loss_critic_1,0.05307866632938385,6905,706,1782108015.9962413
Loss_critic_2,0.0554715171456337,6905,706,1782108015.998815
q_targ,-2.3620896339416504,6905,706,1782108016.0008764
G_Loss_critic_1,0.08040638267993927,6905,706,1782108016.020492
G_Loss_critic_2,0.07838775217533112,6905,706,1782108016.0233338
G_q_targ,-1.892744779586792,6905,706,1782108016.0252762
Loss_actor,2.3854095935821533,6905,706,1782108016.0332346
Loss_action_l2,0.9999585151672363,6905,706,1782108016.0354197
Loss_bc,1183.9071044921875,6905,706,1782108016.0372353
q_pi,-2.3754100799560547,6905,706,1782108016.038958
TimePerSeqRollout,73.25553321838379,8904,706,1782108089.226801
Loss_critic_1,0.09669982641935349,8905,707,1782108092.2517464
Loss_critic_2,0.09511313587427139,8905,707,1782108092.2544305
q_targ,-2.9241366386413574,8905,707,1782108092.2567575
G_Loss_critic_1,0.11388562619686127,8905,707,1782108092.2760522
G_Loss_critic_2,0.10311039537191391,8905,707,1782108092.2793553
G_q_targ,-2.397538900375366,8905,707,1782108092.2814958
Loss_actor,2.8981714248657227,8905,707,1782108092.287931
Loss_action_l2,0.9999702572822571,8905,707,1782108092.2904634
Loss_bc,1194.0244140625,8905,707,1782108092.2922971
q_pi,-2.8881711959838867,8905,707,1782108092.2946072
TimePerSeqRollout,73.38422584533691,10904,707,1782108165.603001
Loss_critic_1,0.12039612978696823,10905,708,1782108165.6319668
Loss_critic_2,0.11387456953525543,10905,708,1782108165.6342332
q_targ,-3.480510950088501,10905,708,1782108165.636369
G_Loss_critic_1,0.1369786113500595,10905,708,1782108165.6532087
G_Loss_critic_2,0.13783666491508484,10905,708,1782108165.6565866
G_q_targ,-2.817674160003662,10905,708,1782108165.6584606
Loss_actor,3.5307037830352783,10905,708,1782108165.6654477
Loss_action_l2,0.9999897480010986,10905,708,1782108165.6675565
Loss_bc,1201.09765625,10905,708,1782108165.6692445
q_pi,-3.5207037925720215,10905,708,1782108165.6709468
TimePerSeqRollout,63.866459369659424,12685,708,1782108229.47237
Loss_critic_1,0.150063157081604,12686,709,1782108229.502691
Loss_critic_2,0.16184836626052856,12686,709,1782108229.5054936
q_targ,-4.04259729385376,12686,709,1782108229.5081682
G_Loss_critic_1,0.15351590514183044,12686,709,1782108229.52656
G_Loss_critic_2,0.1545199453830719,12686,709,1782108229.529684
G_q_targ,-3.321986436843872,12686,709,1782108229.5319147
TimePerSeqRollout,72.56822490692139,14685,709,1782108302.0453207
Loss_critic_1,0.15083862841129303,14686,710,1782108302.081513
Loss_critic_2,0.14610141515731812,14686,710,1782108302.0841231
q_targ,-4.5521063804626465,14686,710,1782108302.086082
G_Loss_critic_1,0.2657090127468109,14686,710,1782108302.104688
G_Loss_critic_2,0.2624274492263794,14686,710,1782108302.1071653
G_q_targ,-3.7301056385040283,14686,710,1782108302.1094732
TimePerSeqRollout,72.41340923309326,16685,710,1782108374.4627311
Loss_critic_1,0.20965492725372314,16686,711,1782108374.7375603
Loss_critic_2,0.20143002271652222,16686,711,1782108374.740218
q_targ,-4.894366264343262,16686,711,1782108374.7422762
G_Loss_critic_1,0.2964012026786804,16686,711,1782108374.7574973
G_Loss_critic_2,0.30362260341644287,16686,711,1782108374.760851
G_q_targ,-3.914203643798828,16686,711,1782108374.7627633
TimePerSeqRollout,45.50188446044922,17942,711,1782108419.96735
Loss_critic_1,0.27769625186920166,17943,712,1782108421.8148918
