metric,value,total_timesteps,episode,wall_time
Loss_critic_1,0.5390418767929077,1,151,1782477961.8434381
Loss_critic_2,0.5864257216453552,1,151,1782477961.8479764
q_targ,-0.5418303608894348,1,151,1782477961.8527591
G_Loss_critic_1,0.4203072786331177,1,151,1782477962.865035
G_Loss_critic_2,0.37788933515548706,1,151,1782477962.8677473
G_q_targ,-0.4116969108581543,1,151,1782477962.871311
Loss_actor,0.23185113072395325,1,151,1782477962.8836143
Loss_action_l2,0.003317682072520256,1,151,1782477962.8864183
Loss_bc,300.15118408203125,1,151,1782477962.8896224
q_pi,-0.23181794583797455,1,151,1782477962.891725
TimePerSeqRollout,17.36519956588745,500,151,1782477978.5116925
Loss_critic_1,0.025800514966249466,501,152,1782477980.0152924
Loss_critic_2,0.02882087603211403,501,152,1782477980.0190494
q_targ,-0.7341936826705933,501,152,1782477980.0209372
G_Loss_critic_1,0.03394504636526108,501,152,1782477980.0377421
G_Loss_critic_2,0.0315987654030323,501,152,1782477980.0420003
G_q_targ,-0.5806024074554443,501,152,1782477980.0436835
Loss_actor,0.6946075558662415,501,152,1782477980.048224
Loss_action_l2,0.9125466346740723,501,152,1782477980.048224
Loss_bc,1124.63720703125,501,152,1782477980.048224
q_pi,-0.6854820847511292,501,152,1782477980.057341
TimePerSeqRollout,15.70185112953186,1000,152,1782477995.692658
Loss_critic_1,0.01819923147559166,1001,153,1782477995.7172866
Loss_critic_2,0.015891095623373985,1001,153,1782477995.7196915
q_targ,-0.8287110924720764,1001,153,1782477995.7211769
G_Loss_critic_1,0.01966056227684021,1001,153,1782477995.7347445
G_Loss_critic_2,0.018721263855695724,1001,153,1782477995.737241
G_q_targ,-0.6267615556716919,1001,153,1782477995.7394612
Loss_actor,0.8054367899894714,1001,153,1782477995.7456932
Loss_action_l2,0.9307482838630676,1001,153,1782477995.7476432
Loss_bc,1126.0140380859375,1001,153,1782477995.7492025
q_pi,-0.7961293458938599,1001,153,1782477995.7515182
TimePerSeqRollout,15.686840534210205,1500,153,1782478011.3840122
Loss_critic_1,0.018820391967892647,1501,154,1782478011.403232
Loss_critic_2,0.01788894459605217,1501,154,1782478011.4079585
q_targ,-0.909400463104248,1501,154,1782478011.4100962
G_Loss_critic_1,0.020453166216611862,1501,154,1782478011.424761
G_Loss_critic_2,0.022809751331806183,1501,154,1782478011.4280217
G_q_targ,-0.6165907382965088,1501,154,1782478011.429778
Loss_actor,0.8876103162765503,1501,154,1782478011.4334157
Loss_action_l2,0.9414325952529907,1501,154,1782478011.4392693
Loss_bc,1135.0443115234375,1501,154,1782478011.4415298
q_pi,-0.8781960606575012,1501,154,1782478011.443491
TimePerSeqRollout,15.587309122085571,2000,154,1782478026.973762
Loss_critic_1,0.015691187232732773,2001,155,1782478026.99113
Loss_critic_2,0.018419187515974045,2001,155,1782478026.9966674
q_targ,-1.0280324220657349,2001,155,1782478026.9982853
G_Loss_critic_1,0.02215828001499176,2001,155,1782478027.0126114
G_Loss_critic_2,0.02331291139125824,2001,155,1782478027.015714
G_q_targ,-0.6662430167198181,2001,155,1782478027.017425
Loss_actor,1.037844181060791,2001,155,1782478027.0239298
Loss_action_l2,0.9594913721084595,2001,155,1782478027.0257561
Loss_bc,1158.51416015625,2001,155,1782478027.027378
q_pi,-1.0282492637634277,2001,155,1782478027.029161
TimePerSeqRollout,21.202229499816895,2500,155,1782478048.1815422
Loss_critic_1,0.014509830623865128,2501,156,1782478048.2082608
Loss_critic_2,0.012208914384245872,2501,156,1782478048.2104938
q_targ,-1.0905258655548096,2501,156,1782478048.2137368
G_Loss_critic_1,0.021451737731695175,2501,156,1782478048.2339764
G_Loss_critic_2,0.02096950262784958,2501,156,1782478048.2366679
G_q_targ,-0.6757849454879761,2501,156,1782478048.239724
Loss_actor,1.0657764673233032,2501,156,1782478048.2421303
Loss_action_l2,0.7930622696876526,2501,156,1782478048.2508018
Loss_bc,982.8214111328125,2501,156,1782478048.2526708
q_pi,-1.0578457117080688,2501,156,1782478048.2557352
TimePerSeqRollout,18.944016695022583,3000,156,1782478067.129213
Loss_critic_1,0.019170593470335007,3001,157,1782478067.8828106
Loss_critic_2,0.022566523402929306,3001,157,1782478067.8854346
q_targ,-1.118479609489441,3001,157,1782478067.8872511
G_Loss_critic_1,0.018938187509775162,3001,157,1782478067.9037516
G_Loss_critic_2,0.01671121083199978,3001,157,1782478067.9061365
G_q_targ,-0.7838115692138672,3001,157,1782478067.908082
Loss_actor,1.0855131149291992,3001,157,1782478067.9138424
Loss_action_l2,0.860947847366333,3001,157,1782478067.9160442
Loss_bc,1051.5125732421875,3001,157,1782478067.9176147
q_pi,-1.0769035816192627,3001,157,1782478067.9196897
TimePerSeqRollout,16.68582844734192,3500,157,1782478084.5487833
Loss_critic_1,0.020279182121157646,3501,158,1782478084.5706642
Loss_critic_2,0.02143607661128044,3501,158,1782478084.5727787
q_targ,-1.1930224895477295,3501,158,1782478084.5748415
G_Loss_critic_1,0.02676144242286682,3501,158,1782478084.5930035
G_Loss_critic_2,0.026452235877513885,3501,158,1782478084.5950272
G_q_targ,-0.7748205661773682,3501,158,1782478084.5968564
