t,agent_x,agent_y,goal_x,goal_y,subgoal_x,subgoal_y,waypoint_x,waypoint_y,new_high_command
0,0.032758929043957774,0.0029778224116617097,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,1
1,0.023793717346272256,0.006996021108774079,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
2,0.008232787029185784,0.025346119460317652,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
3,-0.002654334421893785,0.06732118913246135,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
4,0.10903849067411137,0.12479503442312272,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
5,0.26463164166550945,0.16736292939085448,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
6,0.41893608436706786,0.14924344507295204,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
7,0.5434747810752402,0.14243053028177002,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
8,0.633405444948716,0.13929139226990855,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
9,0.7307309082592057,0.14733869693159313,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
10,0.8302341513843952,0.10540468116233956,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
11,0.86023485791432,0.0039670562272878865,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
12,0.8824496909402194,-0.09220958117765539,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
13,0.8981611268880689,-0.22074189024640561,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
14,0.9561570011098195,-0.3708615250650893,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
15,1.1153197424739079,-0.48670022787485384,0.0,32.0,-3.999998092651367,14.255319595336914,1.0,-1.0,0
16,1.2514541949606885,-0.5879758968582595,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
17,1.371111268528294,-0.6672159442743625,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
18,1.4725377985889003,-0.6676561447630237,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
19,1.5842437734869892,-0.6332692569302293,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
20,1.6847821165456174,-0.6138733761400773,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
21,1.7515984619585339,-0.6544118497001669,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
22,1.8029225216432452,-0.7343326270019375,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
23,1.892599413746379,-0.7728909257291817,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
24,2.05061656082141,-0.7785352390305024,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
25,2.2351302378581237,-0.720405153180907,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
26,2.4037836326528095,-0.6507869958045192,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
27,2.5071302632252053,-0.6474504400645157,0.0,32.0,-3.999998092651367,14.255319595336914,3.0,-1.0,0
28,2.583623498922415,-0.7320850045380629,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
29,2.6600571083383935,-0.800127447817566,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
30,2.753299717814727,-0.8222423581545283,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
31,2.918554820106094,-0.7336080159248827,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
32,3.1188102602993077,-0.711139465577094,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
33,3.308102516995685,-0.699623858306757,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
34,3.4788909601547178,-0.6937447666082217,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
35,3.6055544456570243,-0.6846561350115417,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
36,3.7127375804244553,-0.6782504219737205,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
37,3.8614150369218763,-0.7728985856902376,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
38,4.048294640521399,-0.8697822036119651,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
39,4.2920638024234465,-0.930103834465229,0.0,32.0,-3.999998092651367,14.255319595336914,5.0,-1.0,0
40,4.512039190984134,-0.9739444622308744,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
41,4.714736254663143,-1.0136707578306003,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
42,4.883376336771474,-1.0093850395594648,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
43,5.040664766754931,-0.9380066355541311,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
44,5.245988733545605,-0.8750323791722449,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
45,5.459866519898909,-0.8125214750640439,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
46,5.70018443491498,-0.7532805961699284,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
47,5.992903206870028,-0.7828098141321251,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
48,6.258695982360545,-0.8248242924640989,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
49,6.483696766496063,-0.8445706658047449,0.0,32.0,-3.999998092651367,14.255319595336914,7.0,-1.0,0
50,6.57730762778479,-0.8891076588522145,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
51,6.665161324503864,-0.9117623579972708,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
52,6.723073053482595,-0.8851124595736884,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
53,6.75963248729588,-0.8299510864008889,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
54,6.828134271045443,-0.8622450419176811,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
55,6.9359939448177075,-0.9370931489433525,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
56,7.098786522386822,-1.010258463241447,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
57,7.284756097263133,-1.0770554500634248,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
58,7.436803741106437,-1.1099302407154357,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
59,7.559438362240146,-1.1031506743609647,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,-1.0,0
