t,agent_x,agent_y,goal_x,goal_y,subgoal_x,subgoal_y,waypoint_x,waypoint_y,new_high_command
0,0.032758929043957774,0.0029778224116617097,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,1
1,0.03924573416907694,-0.012431707919563224,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
2,0.04276689558228573,-0.045339913056760876,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
3,0.10204198512380037,-0.025863323665266794,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
4,0.1501935166365217,0.08694672857544156,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
5,0.2169225584437648,0.29560635668187707,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
6,0.2993905306434364,0.5025477146703371,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
7,0.38677212425722063,0.6908703198096101,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
8,0.4972390232999436,0.8494811807310334,0.0,16.0,1.89410400390625,14.810600280761719,1.0,1.0,0
9,0.6226352571556089,0.9793694148632826,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
10,0.7453648993777381,1.0581210919305746,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
11,0.8225913949890704,1.1759382627891142,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
12,0.843248436516215,1.272077920621634,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
13,0.8753133828381076,1.3247965573684748,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
14,0.9184831423201204,1.3889845916178745,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
15,0.983906530393176,1.4255890881563147,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
16,1.0875292759249287,1.4271817184141395,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
17,1.1773531654597431,1.4017525316228383,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
18,1.2537199180961593,1.3695018934672736,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
19,1.3284379955631358,1.331331768002433,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
20,1.3979439005664367,1.2838865360779805,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
21,1.51181109605042,1.251965465911162,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
22,1.7604533016238473,1.23590664224785,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
23,1.972258864335303,1.2267704475604826,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
24,2.1636778947616704,1.2105576660583934,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
25,2.343599186809511,1.1698354545670506,0.0,16.0,1.89410400390625,14.810600280761719,3.0,1.0,0
26,2.502913653956865,1.0350884698914844,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
27,2.643413311624879,0.8869049309854827,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
28,2.7183646383358067,0.8446223118765905,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
29,2.830503039447401,0.880393730237425,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
30,2.9620234844746687,0.9068232424447298,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
31,3.1499220521326143,0.8859632568065984,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
32,3.3232853902318467,0.8625459225506404,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
33,3.416545063437128,0.8889179195528516,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
34,3.4643199189482066,0.8966895398157904,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
35,3.53293346696865,0.9261047773814705,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
36,3.6693180292828966,1.0222490760102794,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
37,3.865138989515554,1.0749639259690065,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
38,4.078298751576705,1.1342309309476846,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
39,4.268243209621783,1.1808304249294939,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
40,4.441124194931404,1.1984001962035882,0.0,16.0,1.89410400390625,14.810600280761719,5.0,1.0,0
41,4.549061467109808,1.1327460617730682,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
42,4.6540905892077475,1.065678274963497,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
43,4.740086671755308,1.0154368238099416,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
44,4.778460485766217,0.9413322804276583,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
45,4.849837796848403,0.880547300619195,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
46,4.9900595705878965,0.8898400745696294,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
47,5.268596784073077,0.8654270307839073,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
48,5.5267892913261845,0.8287330018970461,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
49,5.752842726270509,0.7944321865324545,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
50,5.959611907356188,0.7885778285265049,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
51,6.149796904780953,0.8216820025690581,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
52,6.256383472858962,0.943173832810336,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
53,6.379930503362769,1.0135891986100916,0.0,16.0,1.89410400390625,14.810600280761719,7.0,1.0,0
54,6.522216246391568,1.0481966075925586,0.0,16.0,1.89410400390625,14.810600280761719,9.0,1.0,0
55,6.6545856503790075,1.048879394010735,0.0,16.0,1.89410400390625,14.810600280761719,9.0,1.0,0
56,6.720706199559962,1.037942938244366,0.0,16.0,1.89410400390625,14.810600280761719,9.0,1.0,0
57,6.765397763116394,1.0224793548294948,0.0,16.0,1.89410400390625,14.810600280761719,9.0,1.0,0
